title,performer
The 40-Year-Old Ballerino,Chris Davis
44 Minutes,Fringe Management LLC
58 To Go,Liminal Visions
113,Pretty Gross Productions
116 Grams: A Play to Lose Weight,Letícia Rodrigues
1518: The Dancing Plague,Open Variations Theater
1617: Our Tale of Two Planets,ActLoud Theater (Shanghai) with Chickenshed Theatre | CCW China Season
1917: The Woodbine Poet and Padre,Searchlight Theatre Company
1918: The Final Salomé,Carfax Productions
2050: A Manifesto,LEU Creations
A E,Wide Eye Productions
A: What Is Yours?,Rise Above Performances
About a Bogle,Scotch Bonnet Productions
Acid's Reign,Relish Theatre
Acts of Contrition,Jon Gerrard McFaulds
Adam Riches: The Captain,Park Theatre Productions and Tigco present
ADDING UP AMERICA: Solving the Race Equation,Monique DeBose
Aderyn / Bird,Harebell Tellers
Admitted,Archie Barton (Scotland)
Adult Panto (Unscripted): The Improvised Adult Panto,Matty Hurst Productions Ltd / PBH's Free Fringe
After 4am,After 4am Productions
After Careful Consideration,JumpShip Theatre
After Party,Traverse Theatre in co-production with Paines Plough and Belgrade Theatre
After Shakespeare,Slade Wolfe Enterprises Limited
After the Fact,Blue Bird Productions
Against the Grain,Downstage Left
Agent November's Indoor Escape Game: Murder Mr E,Agent November Escape Rooms
AI Campfire [Return],Venue 13 Productions
Alan Bennett's Talking Heads,The Next Act
Alan Bissett: The Red Hourglass,Alan Bissett
Alan Bissett: When Billy Met Alasdair,Alan Bissett
Aliens,Curious Industries and Dumbworld
Almost Everything,Lauren Barrie / Ben McGuinness
ALONE,Alchemy Theatre and alonetheplay
Already Here,Ines Wurth Presents
An American Love Letter to Edinburgh,Rick Conte
An American (Not) in Paris,Liv Rocklin
Amnesia,"Kimberly Hart-Simpson,Queenie Miller"
"Always, Sometimes, Maybe",Michele Stine
Am I Losing My Mind Or Just My Figure?,Untethered and Hinterland
Amadan and Mortair Kill the King,Tartan Tabletop
And The Little One Said,Minotaur Theatre Company
Angelshark,Blue Dot Theatre and New Celts Productions
Animal Farm,PDS Theater
Annie Wobbler (Revisited),Pleasance and Finborough Theatre
Apples in Winter,LynchPin Theatre
Aquarius Rising,Ben Fallaci
ARCADE,DARKFIELD
Arcana,Fay Guiffo
Argonauts,Technis
ArounD the WorlD in 80 ToyS,Thaddeus Phillips
As Far As We Know,YESYESNONO
Ass Ass In,Fortune Bistro | CCW China Season
ASURA: An Enlightenment Experiment,Wayne Stewart
Atomic Tales,Elena Arvigo / Rhymes with Purple
atticwife,RnL Productions
An Audience with Virginia Woolf: Writing One's Mind,Lucy Stevens
Aufguss x Nils Frahm,Sauna Sessions Arts Club
Aufguss x The Waves,Sauna Sessions Arts Club
The Augur,The Unnatural Disaster Theatre Co.
Awaiting Evaluation,Berenson and Grech Productions
Baby Brain,tim&danny
Baby Everything,Lee Minora
Babyface,Nick Tipa
Bachelors of Fine Arts,Method in Madness Co.
Bad Boy,Nerve Creations
Bad Shakespeare,TheatreOCU
Badgers,Theatre Royal Plymouth in association with Bristol Old Vic
BASIC BALD B*TCH,Emily Glaze
Bathroom,Limpid Theatre (UK/China)
The Bathroom Floor,Katelyn Benton
The BBC's First Homosexual,Inkbrew Productions
Bean vs The Robots: A Solo Show Musical,Midge Lema / Lemabean Productions
The Bear,Edinburgh Graduate Theatre Group
BearGirl,Hey Thanks! Theatre Collective
Before the Sun Comes Up,FirstByte Theatre
Behind Closed Doors,STUDIO MUIZ THEATRE
Bella,Jin Hi Soucy Rand
Belly,Written and performed by Reilly O'Shaughnessy
Benjamin Quirk: Twink Death,Benjamin Quirk
Best. Dad. NEVER.,Hike Chahinian /
Beth and Ben: Your Place in the Workplace,Benth & Bethen
The Betrothed,Molloy University
Betsi,Her Story Theatre Company
Betsy and Patty Find Out,Fooled Again
A Better Memory,Lubna Kerr with Kerr Arts Collective
Beyond Time – Othello Part II,Han Theatre Company (Korea)
Bi-Curious George: Snail Trail,Bi-Curious George
The Big Bite-Size Breakfast Show,The Pleasance
Big Dog,Currie Productions
Big Hair: A Rad and Wild Love Affair,Maegan Mandarino
Big Stuff,Baram and Snieckus
Bigfoot Ripped My Dog In Half I Saw It,"Xhloe and Natasha, Soho Theatre and SoHo Playhouse"
Billie and The Big Turn On,"The Purple Opossum, LLC"
Birdbath,Connor Foligno and Selena Dols / PBH's Free Fringe
B*tch Eat Dog,Melissa Carter
Bite,Anovian Productions
Blackbox,Andy Jordan Productions and Hindsight Productions
Blackjack! (and other ways to get lucky) in Your Parents' Basement,Tom Stilwell
Bloated In Vegas,Cease and Desist Theatricals
Bloody Mary(s),Blue Fire Theatre Company
Bloody Mary's,Fat Pooch Productions
The Bob Ross Effect,Sarah-Louise Young /
The Body I Left in Susquehanna National Forest,Ur Mean Kathleen
Body of Evidence,Trauma Recovery
Body Parts,University of Bristol DramSoc
Bog Witch,Avalon & Tellus Studio present
Boiler Room Six: A Titanic Story,Tom Foreman Productions
Book Club,New Stagers
The Boline Inn,Meadow Report
Bombs Over Byker,Lucas English
boobytrapped,No Tits Theatre in Association with theSpaceUK
Boogie on the Bones,withintheatre
Book of Shadows,Book of Shadowz
Bottoming for Jesus,Michael R Speciàle
Boy in a Box,THEATRE•TASTE
Brassed Off,Leitheatre
Breathe: Five Arias That Saved My Life,Katy Lees
Brew Hill,Pecadillo Productions
Brick,Left for Dead Theatre
Bride To Be,Meg Millane
Broadguess,Dee Ryan
Broke and Fabulous in the 21st Century,Beacon and Tide Productions
Bubble Schmeisis (Remixed),Nick Cassenbaum
Bucksomly Betrothals,Theatre Paradok
Buggers,Patrick Bone Productions in association with Pleasance
Build a Fort,Not Cricket Productions
Bull / Fight,Mythography Collective with Macrobert Arts Centre
Bumpo,"Ben Loftus, Cam Pileggi"
Bunny!,Craig Manson
BURN,Burnt Flamingo Productions
Burning Down the Horse,Fishing4Chips
The Burnings,Edinburgh Little Theatre
Cabin,Daffodils
CADEL: Lungs on Legs,Connor Delves directed by Mark Barford presented by Seabright Live
CAKE: A Crime of Love,On The Brink
Caligula,"Nike Redding,Isabella Egizi and Tom Corradini"
Call Her The Ringmaster,Lucy Aiken
Call Me Elizabeth: from Lassie to Cleopatra,Guy Masterson – TTI presents Kayla Boye
Call Me Elizabeth: from Burton to Humanitarian,Guy Masterson – TTI presents Kayla Boye
Call Me When You Get This,Viskat Productions
CAMPITALISM: Three Gays Try to Fix The Economy,"BOY Theatre, Leicester Curve and Pleasance"
Carmilla,Mermaids at the Fringe
Carys Should be the UK’s Next Eurovision Entry,Carys Jeffrey Evans
Casual Receptionist of the Quarter,Nicole Gulasekharam
A Cat in a Box,Tom Nemec
Catching a Cheese Pervert: A Priscilla Patton Mystery,Cheese Shop Productions
Cathy,Traverse Theatre Company
Ce de Lu',Nicht Offnen (Italy)
Cellotape,Queen Mary's Theatre Company
Cereal Entrepreneur,The Music Firm (UK/USA)
The Chairs Revisited,Vagabond Productions
Chamberlain: Peace in Our Time,Searchlight Theatre Company
chameleon; mirage,Lucy Idil Jordan
Charles Dickens: The Hanged Man's Bride,Blue Orange Arts
Charles Dickens: The Signalman,Blue Orange Arts
Chestnuts,Chestnuts Theatre Company
Chip and Gus: A Comedy with Balls,Fat Knight Theatre (New York City)
Chopin's Last Tour,Anvil Creek Theatre (Australia)
Churchill's Urinal,"Seabright Live presents Rosie Holt, additional material by Stewart Lee"
Cinderella and Frankenstein's Monster Are Dead,The Beachcombers
CIRCLE,JMTC Theatre
Circle of Fifths,Gavin Porter
Citizen Otherplace,Stacy Price
Claudwick.,Alexander Boll
Clive,Cahoots Theatre Company Ltd
Cluedo,Edinburgh Theatre Arts
Collateral Damage,Without Compromise Theatre
The Colour of Water,Magia Productions
COMA,DARKFIELD
Come As You Are,Theatre Paradok
Come Back Home,Fadi Murad –
Common Tongue,JGProducing
Confessions Of A Mulatto Love Child,Bellina Logan
Constellations,Theatre33
The Continuing Misadventures of the Hathaways: Captain McNamara's Revenge,Earlham College Theatre Arts Department
Copycat,Worklight Theatre
The Corpse Road,Daniel Serridge
A Costume Drama,Play the Field Productions
Countdown,Theatre Paradok
The Court 1,Edinburgh Little Theatre
The Court 3,Edinburgh Little Theatre
Couture,String Telephone Theatre Company (Australia)
Cowards!,KQ-HQ (USA/UK)
CQD to SOS: A Titanic Story,Edinburgh Rep / Erstwhile Media
Crash Course,Mermaids at the Fringe
The Crimes of Pete,Hughie Shepherd-Cross
Crocodile Rock,"Sleeping Warrior with A Play, A Pie and A Pint"
Crooked Shadows,"Sister Self, LLC"
Cruising,Dreambite Collective
CRUSH,Hadsan Mohamud
Crying At My Podiatrist,Julia Atkin
CS Lewis' The Screwtape Letters,Searchlight Theatre Company
Cubicle Dialogue,University of York Drama Society
Cuffed,Hounded Theatre
The Curious Case of Osgood MacKenzie,Coraghy Lane Productions
The Cut of Her Jib,Rubber Ear Productions
CVNTCLAVE,Arden Fitzroy
Cyn,Lonely Shepherd Productions
Daddy,House of Oz and Joel Bray Dance
DADDY ISSUES,Spencer Waldner
Daisy Pulls It Off,Viva Arts and Community Group
Danger Plan!,Sophia Wolbrom and Know Smoke Productions
A Dark Line Upstairs,Matilde Vigna
The Dark Pool,Cara Silversmith
The Darren Podcast Show Live!,The Darren Podcast Show
Daughter of Sweden – That One Princess Who Got Drunk with Lizzie I and Thrown Out of England,"Teater Kaleido, By/With: Cecilia Säverman, Director: Judith Hollander"
David William Bryan – In Loyal Company,David William Bryan
Day of the Locust,Fake Escape
Dead Wrong,Jaimee Doyle
The Death of Hundun,Wandi Liu
Deckhand,Spinelly Productions and Los Angeles Theatre Initiative
DeepFake,404 Theater
Dear Cathy,Question Mark Theatre
Dear Lihua,Treetrick
Dear Michelle Kwan,Triple Lutz Productions
Delivering Debussy,Anvil Creek Theatre (Australia)
Delphi: The Musical,Theatre Movement Bazaar
Deluge,Gabi Flares and Andrea Maciel
Delusions and Grandeur,Karen Hall More Play Productions
Democrazy,Action Theatre (Italy)
Departure Is My Homecoming,Feast on Waste Land
A Desperate Remedy,Magdalen College School Drama
DESPERATE WEE GAY BOY,Fraser Kelsey with Iona Bremner Productions and Slainte! Theatre
Detective Blank: A One-Man Noir,Cuneiform Theatre
Detective Heartbreak,Student Theatre at Glasgow
D H Lawrence: The Prussian Officer,Blue Orange Arts
Diana: The Untold and Untrue Story,Awkward Prods
Diary of a Mad Man,Mark McAuley
Did You Charge Your Phone for the End of the World?,Infinite Monkey Theater Co.
Dinner With the Wolves,Bread and Butter Productions
Dinosaurs,The Nightmare Lizards
Dirty Dancer,Resolve Productions
Disciples of Anatomy,Out of Fashion Theatre Company
The Distance,"Global Creative, Grace Dickson Productions and Nic Doodson Productions"
Do Better: A Dramagedy,Izzy Salant
Do Not Attempt This Conversation,Mo Maka and Amaju Jade Samuel
Does the Oracle Speak Truth?,July2septembertheatre
Dogberry and Verges Are Scared,Cincinnati Shakespeare Company and Slippery Trout Productions (USA)
Don Quixote (Is a Very Big Book),Opposable Thumb Theatre and Nordland Visual Theatre
Don Toberman: Ping-Pong Champ,Moonlight Theater Company
Don't Flush Me Yet,George Williams and Alan Robinson-Rising
Don't Kill Daisy,Soleil Kohl
Don't know? Have a go!,Fast Snail Productions
Don’t Rain on My Parade!,Miss Lossie Mouth
Don't You Forget About Me,Fake Escape
DOOMSCROLL TILL I DIE,Denmark Street Productions in association with Pleasance
Double Bill,The Edinburgh Makars
Doughboys,Drunk Jester Players
Down in Colorado,Fraternal Compagnia
Down To Chance,Maybe You Like It
Dr Faustus,Out of Office Theatre
Dracula,Viking Players
Dracula: Lucy's Dream,Plexus Polaire
Dream Walking,Jordon Waters featuring Harry Waters Jr and Kevin Belisario
Dream Watchers,Harry Waters Jr featuring Jordon Waters and Kevin Belisario
Dreamgirl,Karen Houge
The Dreaming,Althea Young. Produced by Hacks – Autopsy Award Winner 2026
Dreaming of Max,Jackie Kleefield Cohn
Dribble,Cênica
Drone,Miss Air / Ventiquest
Dungeons and Shakespeare,The Best Medicine Productions
DUST,Charlaina Thompson and Yellow Brick Theatre Company
Dust: The Sixth Sense,3Bugs Fringe Theatre Society
"Dylan Thomas: Return Journey – Bob Kingdom, Original Direction by Anthony Hopkins",Richard Jordan Productions in association with Pleasance
...Earnest?,"Say It Again, Sorry?"
An Echo in the Void,No Boundaries Theatrical Productions
Edward Albee's The Zoo Story,The Classic Theatre Project
Elsa McTaggart: Capturing the Light,sruth-mara in association with An Lanntair
Emma and Warren in the Garden of Eden,The MONA
Eight,Drama Works (Parker & Snell)
The Eight Faces of Ellie Morrison,Dashboard Light
Eight Hours,Queen Mary's Theatre Company
ELBA,Ishan Mahabir-Stokes
Emotionally Undercooked,Lisa Sa
The End of the World,Destiny Faith Nelson / Rhymes with Purple
Endgame by Samuel Beckett,Flabbergast Theatre
Epic Economics: What would you protest about today?,Dimis Michaelides
ERAS,Kristina Fightmaster
An Evening with Gerald Lloyd-Davies,Laurie Stevens
Eric Liddell: The Chariot of Fire,Searchlight Theatre Company
Erika. Reflections on a New Era,Enebro Teatro
Escape from Fairytale Land,Fib and Fable
SPÉCIE,Casa 107
Eve and Adam,Little Darlings
The Event,Mike McShane
Everyone Sucks Here,The Clemson Players
EVITA TOO,Sh!t Theatre
exit strategy's How to Win a Gameshow,exit strategy
Extra Dry,A/Park Productions
The Extraordinary Life of a Rat Racer,Stage Leftovers
The Fabulist,Freed-Hardeman University
A FACE,Rabbit Head Productions
Fake,Snap the Arrow
Famous Last Words,Montseratt Productions
The Farndale Avenue Housing Estate Townswomen's Guild Dramatic Society's Production of Macbeth,Edinburgh People's Theatre
"Father, Away She Goes",Pierpoint Productions
Fatherload,David Labi / MARTHA!TENTATIEF
The Faustus Project,Half Trick Theatre in association with Benjamin Alborough
Fear and Misery of the Third Reich,Gentlemen Fish Productions
Fight or Flight,Noe Productions
Film Noir Frog,On The Fly Theatre
Fires on the Plain,Setagaya-Silk (Japan)
The First Annual Inaugural Grief Awards,Andreas Tsironis
FLIGHT,DARKFIELD
flights for future generations,Lindsey Barlag Thornton
"Fly, You Fools!",Recent Cutbacks
The Flyting,Kirsty Law
Follow Me,The Dog Ate My Theatre Company and New Celts Productions
Fool’s Gold,Agents of Chaos Theatre Company
Fool's Gold,University of York Drama Society
A Foot is Not an Appropriate Prize for the Tombola,"Daniel McVey supported by Curve, Leicester"
For Dolores,"Fishamble in association with Belltable, GIAF and Traverse presents"
For She's A Jolly Good Fellow!,Riverside Theatre Company
The Forever Wave,Estrella Suerte Productions (USA)
Forge,Tom Oakes / Brite Theater
Forget About Me,Despite the Monkey and Worklight Theatre
Forgotten,Notional Theatre
A Forgotten Woman: Mrs Oscar Wilde,Slade Wolfe Enterprises Limited
FORIEGNER,Koan Brothers
"The Fox, the Slipper and the (Severed) Head",Grist to the Mill Productions / Red Dragonfly Productions
Fractured,Shona Graham / BJA Productions
Fragments,Martin Bearne
Fragments of Self,White Rabbit Theatre Company
Fruit Flies,Fast Snail Productions
Furniture Boys,Emily Weitzman / Rhymes with Purple
Gagula: The Panto with Teeth!,Pig's Ear Productions
Gameplay,Carmen Collective in association with Pleasance and Camden People's Theatre
GANNET,Peggy Pollard and Daisy Day
The Gas Station at the Edge of the Universe,Wyrmwood Theatre
Gathering Stones,Heather Stringer
Gaudí: God's Architect,AGAP Theatre
A Gay Masseur's Guide to Happy Endings,Austin Jennings Boykin
"George, Don't Do That... The Joy of Joyce Grenfell",Coraghy Lane Productions
Georgina Thomas: Hysterical Soprano,Georgina Thomas
Get a Grip,Ripple Theatre
Get Set for the Day Sauna Session,Sauna Sessions Arts Club
A Ghost Among the Living,Box Tale Soup
The Ghost of White Hart Lane,Bruised Sky Productions
Ghosts of West Hollywood,Don Minzone Productions
Giraffe,Abigail Weinstock / The Project People
Girlfriends,Sara Malinowski
The Girls Who Made Us,Inherits Her Flame Theatre Company
Giro Baby,Sophie Sandor
Gloves,GlovesUK
God Complex,Bristol Spotlights
Golden Beryl: Special Oblivion,Golden Beryl
"The Good, The Bad and The Almighty",Early Doors Productions
Good Girl,Bespoke Plays
Good With Faces,"Oisín Kearney, produced by Gina Donnelly, supported by Culture Ireland"
Goodbye Dandelion,"Maddie and Marcus Rice, Charlotte Pleasants and Underbelly"
Goodbye Horses: An Unauthorised Solo Retelling of The Silence of the Lambs,Michael Kinnan
Graduatric,A Lucy Linford Production
Grandma's Shop,Julie Flower
The Grants of Glen Grant,The Pluscarden Players
The Great Gatsby,Key Players with C theatre
The Great Shakespeare Showdown,Flying Solo! Presents
The Great Train Robbery,KCS Theatre Co
Gridlock,KD Film Productions
Grief Encounters,Imogen Defriez
Guns in Dragonland,Los Angeles Theatre Initiative
Habits,Gooseneck Theatre Company
Hadid,Michelle Cohn
haim. teeth. CLUB.,Iona Bremner Productions and Sláinte! Theatre
Halfway Home,Deliverance Theatre
HAM,"Hotter Project, Speakerphone Productions and Soho Theatre"
Hamlet,Prague Shakespeare Company
Hamlet (an experience),Brite Theater
Hamlet: Prince of Sweden,"Nike Redding, Tom Corradini (Tom Corradini Teatro)"
Handle with Care,Ontroerend Goed
Happily Ever Never,LS6 Theatre
Happy,Dylan Murphy
Hater,Brava Guava
Having a Baby – The Sh!t They Don’t Tell You in Books,Lou Cox
A Head Full of Bees,LeoLibra Productions and Lela Bergeron
Headcase,Cold Open Theatre
Heart Beats Strong,Kickdrum
Hecuba: Why Am I In Your Country?,Trojan Women Project presents Arwa Omaren
Helen Bradley: Painter and Storyteller,Kara Wilson
High Heels from the Big Boot,Compagnia Artistica Gaudeamus
Hendrik Quast: Spill Your Guts,Hendrik Quast
Henry V,Blue Orange Arts
Henry VIII and His Groom,OMF Theatre
He's Six Years Older Than Me,Taeyun Kim
HESS,HESS 2026
A Highly Suspect Murder Mystery: ABBAsolute Murder,Highly Suspect
A Highly Suspect Murder Mystery: Knives In,Highly Suspect
Hippolytus,BHS Drama
The Hobbit,Theatre on the Blue
Hold On To Your Butts,Recent Cutbacks
The Hollowed Man 5.0,Grad LEUNG Wai Kit
Holmes and Watson: Rathbone and Bruce (and a Hound),Searchlight Theatre Company
Homecumming,Magalie Rouillard-Bazinet
Homunculus,ECC
Hope This Helps!,Shark Bait Theatre
Horrorshow,Chronic Insanity
Horse Girls,Mercy Academy
The Horse of Jenin,Alaa Shehada in association with Palestine Comedy Club and Pleasance
The Horse That Jumped at the Moon,Bonnet and Belt Theatre Company
How Do I Hold It?,Tabatha Myers
How My Hormonal Imbalances Killed My Friends,Parmiter's Republic of Drama
How Not to Make it in America,House of Oz and Theatre Republic
How To Feel Feelings Houdini Speaks to the Living,The Hidden Room Theatre
How to Poop in an Outhouse at -58°C House Fly,Tess O'Shea
House of Life,Sheep Soup
How to Write a Novel (or Not),Greyhound Indigo Productions
HumAnimalia,Smiley Reily Productions
The Hunger,Black Bright Theatre Company
The Hunger Artist,Jonathan Sidgwick
The Hypochondriac,Rebrand Theatre and New Celts Productions
#Hysterical,Panad Productions®
I Almost Died for This?! (A love story. Sort of.),Kristina Libby
I Am Going to Reveal Something Personal About Myself,Sarah Dealy
I AM JOHNNY,Tessa Parr
I Bought a Flip Phone,Peej Productions and Panos Kandunias
"I, Claudius: Part 1",Strawmoddie Theatre Company
"I, Claudius: Part 2",Strawmoddie Theatre Company
I Dreamt You Differently,Milk and Mallet
I Killed My Father,Irving Diptera
If I See Him,Nottingham New Theatre
"I Love Thee, I Love Thee Not",Red Firefly Theatre
I Think I Hate Actors,Roo Sutcliffe
I Was Never Here,Leo Lion
"If Aliens Attack, I'd Die First",Imperial College Dramatic Society
"If I Had a Gun, I'd Take Them All Down","Paul Bargetto, Michael Rubenfeld"
If We Really Were Witches,Scene 24 Productions
If You Let Me Speak,Nehmila
Iliad: The Song of Thetis,Raccontamiunastoria Storytelling Company
I'm Mom,Studio Nately
Imogen Up the Mountain,The Periwig Players
In A Bad Way,Isolde Fenton
In Her Hand,Surgeon's Hall Museum
In Other Words,Maya Shoham
In Perfect Harmony,Dreamfever Productions
In the Black,Quaz Degraft
In the Cold Light,George Grant
An Infinite Monkey Attempts To Write the Complete Works of Shakespeare: A Variety Show,Edinburgh University Shakespeare Company
The Insanity of Mary Girard,OLSH Theatre
Inserio Fan: The Red Lantern,Tagtrick
Inside Voices,Original Cast of Inside Voices
International Aufguss Masters,Sauna Sessions Arts Club
Into The Light: True Story of Survival and Faith,Millar College of the Bible Drama Team
INTRUSIVE,INTRUSIVE Show
Invasion (JoMarZeb),Philippine Theatre UK
The Inverted Realm,The Inverted Realm Project
Iphigenia Variations,Classical Variations
Irene Cleans Up,Rebecca Taylor Al-Samaraie in Association with Abu Dhabi Dramatic Society
Irrational,Raccontamiunastoria Storytelling Company
Is It Too Late Now To Say Sorry?,Adam Lenson
Is This Your First Crime?,Long Face
An Island of Bad Ideas: The Tempest,Edinburgh Youth Theatre
Isle of No'Man,Martin J Dixon
The IT,Fuzed Theatre Company
"It Couldn't Get Worse; or, The Margarita Boat Tour Incident","Mariah Lee Squires, SW Jones and Riley Gene"
It Happened on a Tuesday,CTRL-ALT Productions
The Italians in England,Action Theatre (Italy)
Italo Calvino's Invisible Cities: A Toy Theater Atlas,"Toy Atlas Theater (Chicago, USA)"
It's a Mystery!,Tim Benzie
It's A Struggle Coming Out,Los Angeles Theatre Initiative
It’s Always Sunny on Olympus,Mind Yer Head Theatre and New Celts Productions
"It’s the Economy, Stupid!",Worklight Theatre
Jack Off The Beanstalk,Matty Hurst Productions Ltd
Jacuzzi by Twilight,The Optimiserables
James Rowland: Team Viking,Salam & Holohan
Jane Austen's Love Freindship [sic],Edinburgh Rep / Erstwhile Media / PBH’s Free Fringe
Jane Eyre Convention,Theatre Caddis
January 6th the Musical,Kiely Sugayan and Jessie Ballard
Jealousy Play,Lockdown Projections
Jekyll and Hyde,Muchmuchmore Theatre
Jellyfish,Blah Blah Productions
@Jenna,"Winnie Stack (New York, USA)"
Jerk Off!,Nadia P Manzoor
Jessies,A Bunch of Jessies Ltd
Jitters,Country Mile Productions
"John Wayne Gacy: The Killer Clown, Born Evil?",No Frills Theatre Company
Join the Club! A Story About the Sex You Never Wanted,Kate Daley
The Joker and The Thief,Dylan and Will Theatre
The Jolly Fisherman,Kick It Anywhere
JOSIAH,Thousand Miles of Bricks Productions
Kafka for Beginners,Edinburgh Little Theatre
JUDAS EXCLUSIVE,Will McDowell and MOOJ Productions
JULIUS CAESAR VARIETY SHOW,Joy Nesbitt supported by Culture Ireland
Just Fall Over!,Six People Away
Just William,Talking Shadows
Justice,Tiffany Esteb / PBH’s Free Fringe
Kanpur: 1857,Niall Moorjani in association with Jasmine Cole Productions
Keeping Secrets,Balancing Act Theatre
KEVIN!!!!!,Recent Cutbacks
Kill Your Darlings,Horace Mann Theatre Company in partnership with Piper Theatre Productions
KINDER,Ryan Stewart
The King of All Birds,Martha Knight supported by Culture Ireland
The Kingmaker (WIP),'Mouse' / The Project People
Kirsty Mann: Corpse,Kirsty Mann
Kismet (Ghesmat),Impatient Productions
Kitty Daddy,JMTC Theatre
The Knocking,Black Cat Theatre Company
Krapp's Last Tape,by Samuel Beckett
Krystyna Hutchinson: Congrats On Not Killing Yourself!,Krystyna Hutchinson
La Musicca von Scene / Sonata,Thor Theatre Guliz Portakaloglu
The Lady Doth Protest,A co-production by Feminine Productions and Joy Powered Productions
The Land Beneath Our Feet,LeftCoast and Nathan Parker
LANDSFRAU,Doris Crea Collective (Performed by Mariann Yar)
Larkhill,Talking Shadows
The Last Audition,Paul Shearman
The Last Ballad,Performed by Tuli & Co
The Last Bantam,Michael Hughes
The Last Days of Liz Truss?,Oxia Theatre Company / Emma Wilkinson Wright
The Last Days of Trump (A Liberal Fantasy),Eoin Carney presents (USA/UK)
The Last Drop,Manás Theatre Lab
The Last Girl There,Queen Mary's Theatre Company
Last Laugh,Third Sister Entertainment
The Last Mad Man,Steven Phillips-Horst
Last Orders,Edinburgh University Theatre Company
The Last Song,Eduardo Enrikez
The Last Stop,Wolves Productions
The Last Word,James Cullinane and Declan Grogan
Lavender,Sixth Side Theatre
Lawrence of Arabia and ME,Eamonn Gearon
Lear's Fool The Late Utopians,COGGIA
Letters to Joan – A Lovely New Play Laughing Matters,Catalytic Productions
Laughing Out Lonely,OPE-N / Part of #DANISH
Launa,Tidal Theatre
The Librarians: A Very Serious Comedy!,Cabbage Productions in association with Pleasance
Lifelong,Pepperdine Scotland in association with Scissor Kick
Lighthouse,Early Doors Productions
Like a Good Neighbor,Jake Alexander
Likewise,ShowTown Theatricals
Lil' Miss Kate – Ward of the State,Niche Vault Productions
Lineage,Valley Road Theatre Company
Linus Karp Was Hit With An Umbrella,"Awkward Prods, Eric Kuhn Productions and Side Hustle Productions"
Lions,Lightning Rod Special
Lipstick,Angelina Nichols
Little Animals,Paul Ready and Fern Culture
A Little Green Leaf,Leaf Collective
The Little Prince,Theatre33
Live From The Afterlife,Charlie Kilgore
Living the Dream,Steel Antler Theatre
Liz Wesleydale: (Shadow) Home Secretary,Beware of the Theatre
Long Story Short,New Stagers
Long Way Home,Layla Warren
The Longer My Mother Is Dead the More I Like Her,Fringe Management LLC
"Los Años Maravillosos: Archive, Image and Collapse",Bearesteatro
Louise: The Last Dance,Saint Stella Productions
Love (5 Ways),Cadillac Productions
Love Did a Number on Me,Eve Mumford / PBH's Free Fringe
Love Hungry Farmer,City Theatre Dublin
Love in the Cracks,Central Academy of Drama (Beijing)
The Love Talker,Pellissippi State Theatre
THE LOVE YOU TAKE,Cory Dagg
Lover on the Radio,Catalytic Productions
Love's Labour's Found,Newcastle University Theatre Society
Love's Labour’s Lost,Prague Shakespeare Company
Lucy Best: Unbelievable,Best Productions
Ludwig: Unfinished Business,Guy Masterson – TTI presents Mike Hatchard
LuluLand,Lucy Ann Morrison
Lunch Break Luxuriate Lit Salon,Sauna Sessions Arts Club
Luscinia,Ars Longa
Lysistrata,Basement Theatrics
M (Woman of Fashion),Eoin Carney presents (USA/UK)
Macbeth: Blood and Bluegrass,The Barden Party
Macbeth’s Midsummer Night’s Dream,Studio 919 DC
Madame La Mort,Full Moon Theatre / Labyrinth Productions
Madam(e) Lou,Kate Danley
Magic Lantern Anthology,The Drolly Theater
MAJENIN – A Palestinian Love Story,"Kufiya Comedy, Pleasance, Aisha Josiah, and Passion Pit Theatre"
Make Me Good Again,New Place Productions
Make Your Mirror Be Me,Bad Dukes Theatre
Make Yourself at Home,At Home Productions
Man or Bear,Katie Hurley and Sarah Hehir in association with Croydonites
"A Man Proposes to a Balloon, or Possibly Something Worse",Mark Daniels Writer
The Man Who Said Too Much,Eoin Carney presents
The Man Who Thought He Knew Too Much,Voloz Collective
Mandy: Prince of Darkness,Richard Stirling
MAN!FEST: The Drag Boyband Musical,"OnTheNose Productions, Chichester Festival Theatre and Pleasance"
Marjolein Robertson: Shetland Folklore,Marjolein Robertson and Off the Kerb Productions
Mark Vigeant: OUT THERE,Mark Vigeant
Martin Luther: Not For Sale,Miller College of the Bible Drama Team
Max Olesker: Making the Cut,Soho Theatre
Mayflies,Grid Iron
Me and the D.O.G,El Kiley
Measure for Measure,Liahona Theatre Department
Meet Mayor Max,"Alex Robins, Theatre Royal Plymouth and Pleasance"
"Metamorphosis (Has the world changed, or is it just me?)",The Morton Players (Guildford High School)
Meteors,The CRAM Collective
A Microscopic Odyssey,Mycelium Theatre Company
A Midsummer Night's Dream,Greene Shoots Theatre Company
Mind The Gap Year,Wabi-Sabi Productions
Misfortunes of a Spy and Her Mystic,Spirit Freak in Association with Fringe Management
Miss Thing Midsummer!,CMU Center for New Work & Play On Shakespeare
Milkdrunk,Cathleen O'Malley
Mind Full,Mon Espoir
Mind the Gap,The Snap Collective
Mistakes Were Made: Shiver Me Timbers!,Bottoms Up Theatre
Mister Jackpot,Nike Redding (Tom Corradini Teatro)
MNÁ (women),Suaimhneas Theatre Company
